PRODUTO;QUANTIDADE;DATA;PRODUTOS;SITUAÇÃO;;;OS;PRODUTO-;DEFEITO;STATOS
MONITOR 20 75HZ MBRX201BK BRX;1;24/03/2026;MONITOR;DEFEITO;;;;;;
MONITOR 19 VX190X VXPRO;1;24/03/2026;MONITOR;DEFEITO;;;;;;
MONITOR 20 75HZ MBRX201BK BRX;1;25/03/2026;MONITOR;DEFEITO;;;;;;
MONITOR 23.8 100HZ DXMO238F100 DUEX;1;26/03/2026;MONITOR;PRODUTO NÃO BATE COM A DESCRIÇÃO;;;;;;
ZOTAC GAMING GEFORCE RTX5060 TWIN EDGE OC;1;26/03/2026;PLACA DE VIDEO;DEFEITO;;;;;;
MONITOR 19 VX190X VXPRO;1;26/03/2026;MONITOR;DEFEITO;;;;;;
VINIK RADEON RX580 DUAL FAN;1;26/03/2026;PLACA DE VIDEO;DEFEITO;;;;;;
VINIK RADEON RX580 DUAL FAN;1;27/03/2026;PLACA DE VIDEO;ARREPENDIMENTO;;;;;;
MONITOR 20 75HZ MBRX201BK BRX;1;30/03/2026;MONITOR;TROCA;;;;;;
SUPORTE TRASPARENTE;1;27/03/2026;SUPORTE;FRAUDE;;;;;;
GEFORCE MSI RTX3050 LOW PROFILE OC;1;30/03/2026;PLACA DE VIDEO;DEVOLUÇÃO;;;;;;
VINIK RADEON RX580 DUAL FAN;1;30/03/2026;PLACA DE VIDEO;DEVOLUÇÃO;;;;;;
CAMERA EZVIZ C2C 1080P WIFI;1;30/03/2026;CAMERA ;DEVOLUÇÃO;;;;;;
MONITOR 23.8 100HZ DXMO238F100 DUEX;1;30/03/2026;MONITOR;PRODUTO NÃO BATE COM A DESCRIÇÃO;;;;;;
MONITOR 23.8 100HZ DXMO238F100 DUEX;1;30/03/2026;MONITOR;NÃO FOI POSSÍVEL ENTREGAR AO CLIENTE QUE FEZ A COMPRA;;;;;;
VINIK RADEON RX580 DUAL FAN;1;31/03/2026;PLACA DE VIDEO;DEVOLUÇÃO;;;;;;
CAMERA BULLET MOTOROLA 2MP ;2;01/04/2026;CAMERA ;ARREPENDIMENTO;;;;;;
VINIK RADEON RX580 DUAL FAN;2;01/04/2026;PLACA DE VIDEO;DEVOLUÇÃO;;;;;;
MONITOR 23.8 100HZ DXMO238F100 DUEX;1;01/04/2026;MONITOR;DEVOLUÇÃO;;;;;;
MONITOR 19 VX190X VXPRO;1;02/04/2026;MONITOR;NÃO FOI POSSÍVEL ENTREGAR AO CLIENTE QUE FEZ A COMPRA;;;;;;
CAMERA BULLET MOTOROLA 2MP ;2;06/04/2026;CAMERA ;PRODUTO NÃO BATE COM A DESCRIÇÃO;;;;;;
CAMERA BULLET MOTOROLA 2MP ;2;06/04/2026;CAMERA ;DEVOLUÇÃO;;;;;;
CAMERA BULLET HIKVISION 3K;1;07/04/2026;CAMERA ;DEVOLUÇÃO;;;;;;
CAMERA EZVIZ C6N;6;08/04/2026;CAMERA ;ARREPENDIMENTO;;;;;;
MONITOR 27 240HZ CURVO BRANCO;1;09/04/2026;MONITOR;DEVOLUÇÃO;;;;;;
CAMERA BULLET HIKVISION 3K DS-2CE10KF0T;6;10/04/2026;CAMERA ;ARREPENDIMENTO;;;;;;
CAMERA EZVIZ H8C WIFI;2;14/04/2026;CAMERA ;ARREPENDIMENTO;;;;;;
